date,commodity,food_price,inflation_annual_avg,inflation_12m,central_bank_rate,rainfall,temperature,temperature_max,temperature_min,humidity,wind_speed,food_price_lag_1,food_price_lag_3,food_price_lag_6,food_price_lag_12,food_price_change_1m,food_price_ma_3,food_price_ma_6,central_bank_rate_change_1m,target_food_price_next_month,target_date
2018-12-01,Bananas,10.0,4.69,5.71,9.0,2.113506954720328,24.146886060964768,30.01334418467002,19.406097070139086,68.98363302752291,3.786693696359874,,,,,,10.0,10.0,,10.0,2019-01-01
2021-01-01,Bananas,10.0,5.74,5.69,7.0,0.7919354838709679,23.90754838709677,30.62400000000001,18.40103225806452,63.9471612903226,3.8561290322580617,8.0,10.0,,,2.0,9.333333333333334,9.5,-2.0,18.75,2021-02-01
2021-02-01,Bananas,18.75,5.16,5.78,7.0,1.0442857142857147,24.79950000000001,31.69057142857141,19.06357142857143,59.52299999999998,3.674142857142858,10.0,10.0,,,8.75,12.25,11.35,0.0,10.0,2021-03-01
2021-03-01,Bananas,10.0,5.17,5.9,7.0,1.7911612903225802,25.173806451612897,31.998322580645176,19.61935483870968,59.83787096774194,4.444709677419353,18.75,8.0,,,-8.75,12.916666666666666,11.125,0.0,10.0,2021-04-01
2021-04-01,Bananas,10.0,4.66,5.76,7.0,2.957933333333333,24.55046666666667,30.21866666666668,20.13686666666666,69.45406666666668,4.395666666666665,10.0,10.0,10.0,,0.0,12.916666666666666,11.125,0.0,12.395,2021-05-01
2021-05-01,Bananas,12.395,5.2,5.87,7.0,4.084645161290321,23.198838709677418,28.791161290322574,18.890903225806447,71.30193548387098,4.230838709677419,10.0,18.75,10.0,,2.395,10.798333333333332,11.524166666666666,0.0,10.0,2021-06-01
2021-06-01,Bananas,10.0,5.35,6.32,7.0,0.9444,22.28393333333332,28.215866666666678,17.62313333333334,68.38119999999999,4.6206666666666685,12.395,10.0,8.0,,-2.395,10.798333333333332,11.8575,0.0,10.0,2021-07-01
2021-07-01,Bananas,10.0,5.53,6.55,7.0,1.0405161290322589,21.831161290322573,27.556000000000008,17.353354838709674,66.38948387096771,4.6970967741935485,10.0,10.0,10.0,,0.0,10.798333333333332,11.8575,0.0,10.0,2021-08-01
2021-08-01,Bananas,10.0,5.71,6.57,7.0,0.8192258064516129,22.778129032258075,29.13645161290323,17.586645161290317,62.746903225806456,4.781161290322578,10.0,12.395,18.75,,0.0,10.0,10.399166666666666,0.0,10.0,2021-09-01
2021-09-01,Bananas,10.0,5.35,6.91,7.0,0.8566000000000005,23.6962,30.353733333333302,18.39033333333334,61.80706666666668,5.1367999999999965,10.0,10.0,10.0,,0.0,10.0,10.399166666666666,0.0,10.0,2021-10-01
2021-10-01,Bananas,10.0,6.07,6.45,7.0,0.9926451612903228,24.777870967741944,31.445612903225797,19.28006451612903,59.91716129032259,4.692838709677422,10.0,10.0,10.0,10.0,0.0,10.0,10.399166666666666,0.0,10.0,2021-11-01
2021-11-01,Bananas,10.0,6.1,5.8,7.0,2.353666666666667,25.23273333333333,31.71406666666668,20.02933333333334,61.54279999999998,4.274666666666668,10.0,10.0,12.395,10.0,0.0,10.0,10.0,0.0,10.0,2021-12-01
2021-12-01,Bananas,10.0,5.62,5.73,7.0,3.16367741935484,23.442774193548384,29.09103225806451,19.034,72.45916129032256,4.153032258064515,10.0,10.0,10.0,8.0,0.0,10.0,10.0,0.0,10.0,2022-01-01
2022-01-01,Bananas,10.0,6.08,5.39,7.0,1.0556129032258066,23.976,30.78348387096775,18.405548387096765,61.97374193548387,3.780967741935484,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,20.0,2022-02-01
2022-02-01,Bananas,20.0,6.23,5.08,7.0,0.751928571428572,25.41328571428572,32.26628571428571,19.74971428571427,57.56485714285712,3.527714285714285,10.0,10.0,10.0,18.75,10.0,13.333333333333334,11.666666666666666,0.0,10.0,2022-03-01
2023-01-01,Bananas,10.0,7.95,8.98,8.75,0.4614193548387098,24.429354838709678,31.497419354838705,18.43832258064516,57.50322580645159,4.315354838709677,10.0,20.0,10.0,12.395,0.0,10.0,11.666666666666666,1.75,17.5,2023-02-01
2023-02-01,Bananas,17.5,8.3,9.23,8.75,0.2490714285714285,25.779071428571427,33.53999999999999,19.067071428571435,51.11364285714282,4.3248571428571445,10.0,10.0,10.0,10.0,7.5,12.5,12.916666666666666,0.0,10.805,2023-03-01
2023-03-01,Bananas,10.805,8.59,9.19,9.5,2.4013548387096764,25.384516129032253,31.94077419354838,20.057032258064517,60.971677419354855,4.06658064516129,17.5,10.0,10.0,10.0,-6.695,12.768333333333333,13.050833333333337,0.75,12.72,2023-04-01
2023-04-01,Bananas,12.72,8.71,7.9,9.5,7.197333333333333,23.745999999999984,29.0422,19.674599999999984,74.81580000000002,3.944533333333332,10.805,10.0,20.0,10.0,1.915000000000001,13.675,11.8375,0.0,10.485,2023-05-01
2023-05-01,Bananas,10.485,8.78,8.03,9.5,4.442903225806452,23.30825806451613,29.11400000000001,18.91664516129032,73.83045161290323,4.281419354838708,12.72,17.5,10.0,10.0,-2.235000000000001,11.336666666666666,11.918333333333331,0.0,10.005,2023-06-01
2023-06-01,Bananas,10.005,8.77,7.88,10.5,2.095133333333332,22.743266666666667,28.554933333333327,18.20666666666667,71.06640000000003,4.183399999999999,10.485,10.805,10.0,10.0,-0.4800000000000004,11.07,11.919166666666667,1.0,18.75,2023-07-01
2023-07-01,Bananas,18.75,8.68,7.28,10.5,1.2007741935483869,22.377032258064503,28.50600000000001,17.540967741935482,68.09154838709676,4.793741935483872,10.005,12.72,10.0,10.0,8.745000000000001,13.079999999999998,13.3775,0.0,15.0,2023-08-01
2023-08-01,Bananas,15.0,8.52,6.73,10.5,1.2456129032258063,22.88574193548387,29.28122580645161,17.85677419354839,66.17167741935486,5.026322580645161,18.75,10.485,17.5,10.0,-3.75,14.585,12.960833333333332,0.0,10.0,2023-09-01
2023-09-01,Bananas,10.0,8.32,6.78,10.5,1.2512666666666667,24.303266666666666,30.885133333333325,19.023200000000013,63.47546666666668,4.6887333333333325,15.0,10.005,10.805,10.0,-5.0,14.583333333333334,12.826666666666666,0.0,12.26,2023-10-01
2023-10-01,Bananas,12.26,8.1,6.92,10.5,2.628645161290323,24.625612903225804,31.094258064516087,19.54954838709677,65.34103225806454,4.684000000000001,10.0,18.75,12.72,20.0,2.26,12.42,12.75,0.0,15.505,2023-11-01
2023-11-01,Bananas,15.505,7.87,6.8,10.5,9.33346666666667,23.02306666666667,27.941599999999973,19.267866666666663,78.72493333333331,3.671533333333332,12.26,15.0,10.485,10.0,3.244999999999999,12.588333333333331,13.586666666666666,0.0,16.5,2023-12-01
